Comment,CustomerID,Date
"Sản phẩm tốt, giao hàng nhanh!",C001,2025-01-15
"Hàng ok but ship hơi lâu.",C002,2025-01-16
"Chất lượng kém, không như mô tả.",C003,2025-01-17
"Fast delivery but packaging was damaged",C004,2025-01-18
"配送が速くて品質も良かったです",C005,2025-01-19
"Giá hơi cao so với thị trường nhưng quality đáng đồng tiền",C006,2025-01-20
"Average product, nothing special",C007,2025-01-21
"Terrible customer service, waited 2 hours for response",C008,2025-01-22
"Love this! Best purchase I've made this year ❤️",C009,2025-01-23
"Đóng gói cẩn thận, shop nhiệt tình",C010,2025-01-24
